rank,name,source,weighted_rms_db,weighted_mae_db,shape_correlation,rms_1_6k_db,rms_6_8k_db,rms_8_10k_db,rms_10_12k_db,coverage_hz,path
324,ELISE AUDIO x Kinera Dark Phoenix,Jaytiss,3.603519849304879,3.1840898239107758,0.6820912199488619,3.6751184675616417,2.6490511404378245,4.28797250969121,2.346103583013728,20.0-19955.5,measurements/Jaytiss/data/in-ear/ELISE AUDIO x Kinera Dark Phoenix.csv
325,Aroma Audio Fei Wan,Jaytiss,3.606815999655214,2.8694083759376374,0.5327370391257198,2.876594830925937,6.721435101502479,5.889992831766406,3.619763735128334,20.0-19955.5,measurements/Jaytiss/data/in-ear/Aroma Audio Fei Wan.csv
326,Dita Audio Mecha,Jaytiss,3.6363686795007704,3.1223124682573467,0.7825308632673494,3.664464450733523,3.2156154301751156,3.9186756500755036,3.771049755144928,20.0-19955.5,measurements/Jaytiss/data/in-ear/Dita Audio Mecha.csv
327,Simgot Audio EA1000 (black nozzle),Jaytiss,3.651944925264433,2.987581567785145,0.6409785829925223,3.5828682662991884,4.106246258790898,2.963117068290577,5.8986036417388075,20.0-19955.5,measurements/Jaytiss/data/in-ear/Simgot Audio EA1000 (black nozzle).csv
328,FiiO JD10,Jaytiss,3.688891319644745,2.9435338649451626,0.775319206241108,3.570877681237034,2.562441827630386,6.12721467777665,6.605612969712675,20.0-19955.5,measurements/Jaytiss/data/in-ear/FiiO JD10.csv
329,Tanchjim HANA 2021,Jaytiss,3.7109721158346067,3.0648900810491,0.5679704433538699,3.371571097446441,4.729271206500445,4.6508305726361225,9.032345501472216,20.0-19955.5,measurements/Jaytiss/data/in-ear/Tanchjim HANA 2021.csv
330,Kiwi Ears Dolce,Jaytiss,3.729454991244049,2.8068815663849014,0.5044433659250743,3.4982297532442974,5.244544212553996,4.37231077589207,2.3042801814645357,20.0-19955.5,measurements/Jaytiss/data/in-ear/Kiwi Ears Dolce.csv
331,AME Mousa,Jaytiss,3.7381820413308118,2.7915767976772825,0.40929204784084205,3.29600623739546,5.996171454360459,5.274207926939734,3.011616624336559,20.0-19955.5,measurements/Jaytiss/data/in-ear/AME Mousa.csv
332,BASN Metalen,Jaytiss,3.763232921147874,2.804963988764098,0.5498583668703739,3.474151567901905,5.181429354573376,5.481570809847109,2.221992531228826,20.0-19955.5,measurements/Jaytiss/data/in-ear/BASN Metalen.csv
333,7Hz G1,Jaytiss,3.7798032074260286,2.787085849079628,0.4007569023710913,3.2713628518799056,6.6881751998227745,4.602464730101577,0.592003004187865,20.0-19955.5,measurements/Jaytiss/data/in-ear/7Hz G1.csv
334,FlipEars Aegis,Jaytiss,3.780469619981051,2.9651815402586035,0.639589141225651,3.716219366357554,1.9637286085903614,5.232865936875209,8.969577327528446,20.0-19955.5,measurements/Jaytiss/data/in-ear/FlipEars Aegis.csv
335,Craft Ears Omnium,Jaytiss,3.78489070948335,3.4217714789562192,0.8338177904623667,3.7831248772891213,1.8207611744825398,6.218620529279879,4.155166173231433,20.0-19955.5,measurements/Jaytiss/data/in-ear/Craft Ears Omnium.csv
336,Moondrop Starfield 2,Jaytiss,3.796569036715024,2.996448171293011,0.6604095727340776,3.8089824697585946,2.9496896321029284,3.708310326298679,7.267650910985737,20.0-19955.5,measurements/Jaytiss/data/in-ear/Moondrop Starfield 2.csv
337,Noble Audio Chronicle,Jaytiss,3.8080526239621504,3.23055465001442,-0.0003079877777190152,3.972318704923451,2.4723790761298665,2.5189391616001005,4.4518659652954975,20.0-19955.5,measurements/Jaytiss/data/in-ear/Noble Audio Chronicle.csv
338,Rose Technics QuietSea,Jaytiss,3.8807337039555243,3.0782859498509105,0.6179340696028006,3.7879394730054323,3.947123317967229,4.671633258565386,5.970166379414075,20.0-19955.5,measurements/Jaytiss/data/in-ear/Rose Technics QuietSea.csv
339,Tipsy Spica 260,Jaytiss,3.9602111937350464,2.770632524284619,0.27178038417916706,2.944057342914282,8.267939012765996,4.857733605856802,7.610640967310681,20.0-19955.5,measurements/Jaytiss/data/in-ear/Tipsy Spica 260.csv
340,EPZ Q5 v2,Jaytiss,3.9773985336651445,2.8780813303882775,0.4183735641273507,3.6131827303842394,6.328358695646186,3.5464716488117114,5.244924152581453,20.0-19955.5,measurements/Jaytiss/data/in-ear/EPZ Q5 v2.csv
341,Campfire Audio Bonneville,Jaytiss,4.015906012616965,3.174538911375689,-0.5015595693102116,3.556727419426564,6.496124147982697,4.658674635453989,5.649050125596859,20.0-19955.5,measurements/Jaytiss/data/in-ear/Campfire Audio Bonneville.csv
342,KZ ZA12 (on-on-off-off),Jaytiss,4.071215204998733,3.5324056201323297,0.6822894967109726,3.723949734708414,6.184768380530572,5.025127503267925,2.104706233647257,20.0-19955.5,measurements/Jaytiss/data/in-ear/KZ ZA12 (on-on-off-off).csv
343,Hidizs ST2 Nebula,Jaytiss,4.154856320051414,2.9605401099269666,0.3290274566158769,3.3421561159654973,7.156836698384262,7.976843276804019,3.494290586658988,20.0-19955.5,measurements/Jaytiss/data/in-ear/Hidizs ST2 Nebula.csv
344,HeartField Blanc,Jaytiss,4.167664534263839,2.70213598187598,-0.05351515825521355,3.164760488185985,8.7767676724341,5.854760930530867,0.6473423889409196,20.0-19955.5,measurements/Jaytiss/data/in-ear/HeartField Blanc.csv
345,Fir Audio e10,Jaytiss,4.2663014385438265,3.18988927936926,0.23816908499630962,3.7162950020107264,6.749834819100922,5.590515128680421,7.729254071427166,20.0-19955.5,measurements/Jaytiss/data/in-ear/Fir Audio e10.csv
346,KZ Symphony,Jaytiss,4.402331741300654,3.392439804584497,0.539260656375391,3.827844390901365,3.4396687783149362,9.720939917503737,11.7928245500607,20.0-19955.5,measurements/Jaytiss/data/in-ear/KZ Symphony.csv
