* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
11166.799182	51.213319
11329.224017	50.951049
11494.011375	50.693634
11661.195620	50.516056
11830.811616	50.418873
12002.894734	50.376841
12177.480858	50.396869
12354.606395	50.470152
12534.308283	50.625765
12716.623996	50.920155
12901.591551	51.333877
13089.249521	51.922618
13279.637040	52.733216
13472.793808	53.707128
13668.760107	54.965927
13867.576801	56.448846
14069.285350	58.093643
14273.927818	59.799101
14481.546879	61.279011
14692.185828	62.440392
14905.888592	62.959168
15122.699734	62.917746
15342.664467	62.323794
15565.828661	61.379868
15792.238852	60.435976
16021.942256	59.651023
16254.986772	59.234038
16491.420999	59.183375
16731.294241	59.256921
16974.656520	59.270221
17221.558584	59.016792
17472.051922	58.285074
17726.188769	57.075982
17984.022122	55.460442
18245.605748	53.572561
18510.994194	51.684653
18780.242805	50.033489
19053.407727	49.015894
19330.545924	48.481715
19611.715189	48.481715
19896.974155	48.481715
20186.382308	48.481715
