* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
198.697250	60.455800
201.587368	60.413443
204.519524	60.371085
207.494329	60.328727
210.512403	60.288023
213.574377	60.252672
216.680888	60.222474
219.832584	60.192229
223.030122	60.162247
226.274170	60.135866
229.565404	60.110665
232.904509	60.087135
236.292183	60.063626
239.729132	60.040049
243.216073	60.019626
246.753732	60.000356
250.342848	59.981079
253.984168	59.961886
257.678453	59.942963
261.426473	59.926836
265.229008	59.910475
269.086853	59.894169
273.000811	59.877970
276.971700	59.861536
281.000346	59.847030
285.087590	59.832972
289.234284	59.818708
293.441294	59.804659
297.709496	59.790622
302.039780	59.776380
306.433050	59.761722
310.890221	59.746683
315.412224	59.731424
320.000000	59.714698
324.654507	59.697073
329.376716	59.679301
334.167610	59.661800
339.028190	59.644044
343.959469	59.625359
348.962474	59.606095
354.038251	59.587468
359.187855	59.569906
364.412363	59.552089
369.712863	59.536947
375.090460	59.521827
380.546277	59.506529
386.081450	59.492620
391.697134	59.478509
397.394500	59.464193
403.174736	59.450254
409.039048	59.436165
414.988657	59.421870
421.024807	59.412766
427.148753	59.404784
433.361775	59.396686
439.665167	59.388469
446.060244	59.380134
452.548340	59.374525
459.130807	59.372662
465.809019	59.370772
472.584367	59.368855
479.458265	59.366909
486.432146	59.364936
493.507464	59.362933
500.685695	59.360902
507.968337	59.358841
515.356906	59.356750
522.852945	59.354629
530.458016	59.352476
538.173706	59.350293
546.001623	59.348077
553.943399	59.345830
562.000691	59.343550
570.175180	59.341236
578.468569	59.338889
586.882588	59.336508
595.418991	59.334092
604.079560	59.331641
612.866100	59.329595
621.780442	59.327554
630.824447	59.325483
640.000000	59.323381
649.309014	59.321250
658.753431	59.319087
668.335221	59.316893
678.056380	59.314667
687.918938	59.312408
697.924949	59.310117
708.076501	59.307792
718.375711	59.305434
728.824726	59.303041
739.425726	59.300613
750.180921	59.298150
761.092554	59.295652
772.162900	59.293117
783.394268	59.290545
794.789000	59.287935
806.349472	59.282550
818.078095	59.276695
829.977315	59.270755
842.049613	59.264729
854.297507	59.258615
866.723550	59.252413
879.330334	59.246120
892.120489	59.248166
905.096680	59.255271
918.261614	59.262480
931.618037	59.269793
945.168733	59.277213
958.916529	59.284741
972.864291	59.309489
987.014928	59.344799
1001.371391	59.382571
1015.936673	59.440961
1030.713812	59.499417
1045.705890	59.575960
1060.916032	59.659916
1076.347412	59.743874
1092.003245	59.849770
1107.886798	59.952224
1124.001383	60.039614
1140.350359	60.167432
1156.937137	60.273291
1173.765175	60.379195
1190.837983	60.506997
1208.159120	60.612878
1225.732199	60.718754
1243.560885	60.846562
1261.648894	60.952473
1280.000000	61.058331
1298.618029	61.164224
1317.506863	61.270107
1336.670442	61.354072
1356.112761	61.452069
1375.837875	61.537280
1395.849898	61.622492
1416.153002	61.711814
1436.751422	61.795777
1457.649452	61.901650
1478.851452	62.007561
1500.361842	62.113416
1522.185107	62.241228
1544.325799	62.369042
1566.788535	62.504864
1589.577999	62.668530
1612.698944	62.796853
1636.156190	62.964760
1659.954630	63.117721
1684.099226	63.245536
1708.595013	63.373352
1733.447100	63.501171
1758.660669	63.607032
1784.240977	63.690990
1810.193360	63.784759
1836.523229	63.869965
1863.236074	63.942875
1890.337467	64.025802
1917.833058	64.110805
1945.728583	64.181559
1974.029857	64.266764
2002.742782	64.340728
2031.873347	64.424692
2061.427625	64.508658
2091.411780	64.593018
2121.832065	64.692809
2152.694823	64.782435
